epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,10180.1,0.82487,0.61108,1.10118,0.83885,0.7789,0.82294,0.48548,1.57497,0.89511,1.50454,0.001882,0.001882,0.001882
125,10267.9,0.83046,0.61102,1.10537,0.83595,0.77906,0.82356,0.48498,1.57425,0.89543,1.50544,0.001816,0.001816,0.001816
126,10355.6,0.82943,0.60098,1.10644,0.84877,0.76045,0.82321,0.48365,1.57598,0.8958,1.50773,0.00175,0.00175,0.00175
127,10442.7,0.82382,0.60095,1.0999,0.85016,0.75988,0.82156,0.48602,1.57135,0.89523,1.50631,0.001684,0.001684,0.001684
128,10530.4,0.82591,0.60276,1.10082,0.84879,0.76247,0.8221,0.48589,1.56711,0.89181,1.50336,0.001618,0.001618,0.001618
129,10620.1,0.81647,0.5924,1.09542,0.84732,0.76263,0.82329,0.48705,1.56257,0.89262,1.49937,0.001552,0.001552,0.001552
130,10707.1,0.81968,0.59817,1.09909,0.84747,0.76303,0.82474,0.48747,1.56178,0.89076,1.49886,0.001486,0.001486,0.001486
131,10795.5,0.80772,0.58639,1.08887,0.81716,0.79331,0.82529,0.48907,1.56448,0.89119,1.50335,0.00142,0.00142,0.00142
132,10883.1,0.81387,0.59167,1.0961,0.82587,0.79771,0.82582,0.48739,1.56355,0.89267,1.50212,0.001354,0.001354,0.001354
133,10970.6,0.80831,0.58922,1.08843,0.82513,0.79782,0.82593,0.48783,1.56317,0.89385,1.49981,0.001288,0.001288,0.001288
134,11058.1,0.80201,0.57363,1.0913,0.82277,0.79782,0.82552,0.48803,1.56245,0.89364,1.50037,0.001222,0.001222,0.001222
135,11145.3,0.80545,0.575,1.09185,0.82033,0.79782,0.82508,0.48608,1.561,0.89416,1.49848,0.001156,0.001156,0.001156
136,11233.2,0.79479,0.57083,1.08498,0.82115,0.79488,0.8254,0.48569,1.56158,0.89261,1.49881,0.00109,0.00109,0.00109
137,11319.7,0.80322,0.57247,1.09277,0.86266,0.76022,0.82357,0.48601,1.55991,0.89283,1.49796,0.001024,0.001024,0.001024
138,11409,0.80128,0.574,1.0867,0.86078,0.7581,0.8247,0.48553,1.55966,0.89375,1.49869,0.000958,0.000958,0.000958
139,11493.8,0.79836,0.57212,1.08645,0.86943,0.7582,0.82482,0.48449,1.56072,0.89342,1.50049,0.000892,0.000892,0.000892
140,11581.9,0.78846,0.57188,1.08333,0.86511,0.75932,0.82594,0.48349,1.5603,0.89561,1.5013,0.000826,0.000826,0.000826
141,11675.6,0.77412,0.45935,1.0486,0.86518,0.7582,0.82528,0.48394,1.56137,0.89386,1.50136,0.00076,0.00076,0.00076
142,11761.8,0.76021,0.44442,1.04297,0.867,0.75595,0.82336,0.48216,1.56051,0.89317,1.50122,0.000694,0.000694,0.000694
143,11848.4,0.74859,0.43601,1.03493,0.86294,0.75595,0.82735,0.48263,1.56603,0.89291,1.50945,0.000628,0.000628,0.000628
144,11936.4,0.75072,0.43211,1.03621,0.84096,0.76946,0.82797,0.48408,1.56024,0.89366,1.50055,0.000562,0.000562,0.000562
145,12024.4,0.73859,0.42487,1.03004,0.84135,0.7739,0.82763,0.48452,1.55869,0.89365,1.49939,0.000496,0.000496,0.000496
146,12110.7,0.73494,0.42085,1.0244,0.84601,0.77968,0.82673,0.48352,1.55803,0.89327,1.50041,0.00043,0.00043,0.00043
147,12197.6,0.73516,0.41882,1.02592,0.84784,0.78172,0.82693,0.48351,1.55673,0.89373,1.49779,0.000364,0.000364,0.000364
148,12285.1,0.71904,0.41003,1.01666,0.85088,0.77832,0.82718,0.48469,1.55628,0.89441,1.49806,0.000298,0.000298,0.000298
149,12370.5,0.7255,0.41258,1.02497,0.84931,0.7687,0.82678,0.48316,1.55649,0.89494,1.49824,0.000232,0.000232,0.000232
150,12457.6,0.72729,0.41325,1.02152,0.85474,0.76689,0.82696,0.48326,1.55572,0.89326,1.4994,0.000166,0.000166,0.000166
